code,description,type,parent,is_billable,icd9_equiv
I,Alcune malattie infettive e parassitarie,chapter,A00-B99,0,ND
A00-A09,Malattie infettive intestinali,block,I,0,ND
A00,Colera,cat 3,A00-A09,0,ND
A00.0,"Colera da Vibrio cholerae 01, biotipo del colera (+ possibile)",cat 4,A00,1,001.0
A00.1,"Colera da Vibrio cholerae 01, biotipo El Tor (+ possibile)",cat 4,A00,1,001.1
A00.9,"Colera, non specificato (+ possibile)",cat 4,A00,1,001.9
A01,Febbre tifoide e paratifo,cat 3,A00-A09,0,ND
A01.0,Febbre tifoide (+ possibile),cat 4,A01,1,002.0
A01.1,Paratifo A (+ possibile),cat 4,A01,1,002.1
A01.2,Paratifo B (+ possibile),cat 4,A01,1,002.2
A01.3,Paratifo C (+ possibile),cat 4,A01,1,002.3
A01.4,"Paratifo, non specificato (+ possibile)",cat 4,A01,1,002.9
A02,Altre infezioni da salmonella,cat 3,A00-A09,0,ND
A02.0,Enterite da salmonella (+ possibile),cat 4,A02,1,003.0
A02.1,Sepsi da salmonella (+ possibile),cat 4,A02,1,003.1
A02.2,Infezioni localizzate da salmonella (+ possibile),cat 4,A02,1,003.20
A02.8,Altre specificate infezioni da salmonella (+ possibile),cat 4,A02,1,003.8
A02.9,"Infezione da salmonella, non specificata (+ possibile)",cat 4,A02,1,003.9
A03,Shigellosi,cat 3,A00-A09,0,ND
A03.0,Shigellosi da Shigella dysenteriae (+ possibile),cat 4,A03,1,004.0
A03.1,Shigellosi da Shigella flexneri (+ possibile),cat 4,A03,1,004.1
A03.2,Shigellosi da Shigella boydii (+ possibile),cat 4,A03,1,004.2
A03.3,Shigellosi da Shigella sonnei (+ possibile),cat 4,A03,1,004.3
A03.8,Altre shigellosi (+ possibile),cat 4,A03,1,004.8
A03.9,"Shigellosi, non specificata (+ possibile)",cat 4,A03,1,004.9
A04,Altre infezioni batteriche intestinali,cat 3,A00-A09,0,ND
A04.0,Infezione da Escherichia coli enteropatogeno (+ possibile),cat 4,A04,1,008.01
A04.1,Infezione da Escherichia coli enterotossigeno (+ possibile),cat 4,A04,1,008.02
A04.2,Infezione da Escherichia coli enteroinvasivo (+ possibile),cat 4,A04,1,008.03
A04.3,Infezione da Escherichia coli enteroemorragico (+ possibile),cat 4,A04,1,008.04
A04.4,Altre infezioni intestinali da Escherichia coli (+ possibile),cat 4,A04,1,008.09
A04.5,Enterite da Campylobacter (+ possibile),cat 4,A04,1,008.43
A04.6,Enterite da Yersinia enterocolitica (+ possibile),cat 4,A04,1,008.44
A04.7,Enterocolite da Clostridium difficile (+ possibile),cat 4,A04,1,008.45
A04.8,Altre specificate infezioni batteriche intestinali (+ possibile),cat 4,A04,1,008.49
A04.9,"Infezione batterica intestinale, non specificata (+ possibile)",cat 4,A04,1,008.5
A05,"Altre intossicazioni alimentari batteriche, non classificate altrove",cat 3,A00-A09,0,ND
A05.0,Intossicazione alimentare da stafilococco (+ possibile),cat 4,A05,1,005.0
A05.1,Botulismo (+ possibile),cat 4,A05,1,005.1
A05.2,Intossicazione alimentare da Clostridium perfringens [Clostridium welchii] (+ possibile),cat 4,A05,1,005.2
A05.3,Intossicazione alimentare da Vibrio parahaemolyticus (+ possibile),cat 4,A05,1,005.4
A05.4,Intossicazione alimentare da Bacillus cereus (+ possibile),cat 4,A05,1,005.89
A05.8,Altre specificate intossicazioni alimentari batteriche (+ possibile),cat 4,A05,1,005.89
A05.9,"Intossicazione alimentare batterica, non specificata (+ possibile)",cat 4,A05,1,005.9
A06,Amebiasi,cat 3,A00-A09,0,ND
A06.0,Dissenteria amebica acuta (+ possibile),cat 4,A06,1,006.0
A06.1,Amebiasi intestinale cronica (+ possibile),cat 4,A06,1,006.1
A06.2,Colite amebica non dissenterica (+ possibile),cat 4,A06,1,006.2
A06.3,Ameboma dell’intestino (+ possibile),cat 4,A06,1,006.2
A06.4,Ascesso amebico del fegato (+),cat 4,A06,1,006.3
A06.5,Ascesso amebico del polmone (+),cat 4,A06,1,006.4
A06.6,Ascesso amebico dell’encefalo (+),cat 4,A06,1,006.5
A06.7,Amebiasi cutanea (+ possibile),cat 4,A06,1,006.6
A06.8,Infezione amebica di altre sedi (+ possibile),cat 4,A06,1,006.8
A06.9,"Amebiasi, non specificata (+ possibile)",cat 4,A06,1,006.9
A07,Altre malattie intestinali da protozoi,cat 3,A00-A09,0,ND
A07.0,Balantidiasi (+ possibile),cat 4,A07,1,007.0
A07.1,Giardiasi [lambliasi] (+ possibile),cat 4,A07,1,007.1
A07.2,Criptosporidiosi (+ possibile),cat 4,A07,1,007.4
A07.3,Isosporiasi (+ possibile),cat 4,A07,1,007.2
A07.8,Altre specificate malattie intestinali da protozoi (+ possibile),cat 4,A07,1,007.8
A07.9,"Malattia intestinale da protozoi, non specificata (+ possibile)",cat 4,A07,1,007.9
A08,Infezioni virali intestinali e altre specificate infezioni intestinali,cat 3,A00-A09,0,ND
A08.0,Enterite da Rotavirus (+ possibile),cat 4,A08,1,008.61
A08.1,Gastroenteropatia acuta da Norovirus (+ possibile),cat 4,A08,1,008.63
A08.2,Enterite da Adenovirus (+ possibile),cat 4,A08,1,008.62
A08.3,Altre enteriti virali (+ possibile),cat 4,A08,1,008.69
A08.4,"Infezione virale intestinale, non specificata (+ possibile)",cat 4,A08,1,008.8
A08.5,Altre specificate infezioni intestinali (+ possibile),cat 4,A08,1,008.8
A09,Altre gastroenteriti e coliti di origine infettiva e non specificata,cat 3,A00-A09,0,ND
A09.0,Altre e non specificate gastroenteriti e coliti di origine infettiva (+ possibile),cat 4,A09,1,009.0
A09.9,Gastroenteriti e coliti di origine non specificata (+ possibile),cat 4,A09,1,009.1
A15-A19,Tubercolosi,block,I,0,ND
A15,"Tubercolosi respiratoria, confermata batteriologicamente e istologicamente",cat 3,A15-A19,0,ND
A15.0,"Tubercolosi del polmone, confermata dall’esame microscopico dell’escreato con o senza esame colturale (+ possibile)",cat 4,A15,1,011.93
A15.1,"Tubercolosi del polmone, confermata dal solo esame colturale (+ possibile)",cat 4,A15,1,011.94
A15.2,"Tubercolosi del polmone, confermata istologicamente (+ possibile)",cat 4,A15,1,011.95
A15.3,"Tubercolosi del polmone, confermata con metodi non specificati (+ possibile)",cat 4,A15,1,011.96
A15.4,"Tubercolosi dei linfonodi intratoracici, confermata batteriologicamente e istologicamente (+ possibile)",cat 4,A15,1,012.13
A15.5,"Tubercolosi di laringe, trachea e bronchi, confermata batteriologicamente e istologicamente (+ possibile)",cat 4,A15,1,011.33
A15.6,"Pleurite tubercolare, confermata batteriologicamente e istologicamente (+ possibile)",cat 4,A15,1,012.03
A15.7,"Tubercolosi respiratoria primaria, confermata batteriologicamente e istologicamente (+ possibile)",cat 4,A15,1,010.93
A15.8,"Altre forme di tubercolosi respiratoria, confermate batteriologicamente e istologicamente (+ possibile)",cat 4,A15,1,012.83
A15.9,"Tubercolosi respiratoria non specificata, confermata batteriologicamente e istologicamente (+ possibile)",cat 4,A15,1,011.93
A16,"Tubercolosi respiratoria, non confermata batteriologicamente e istologicamente",cat 3,A15-A19,0,ND
A16.0,"Tubercolosi del polmone, batteriologicamente e istologicamente negativa (+ possibile)",cat 4,A16,1,011.90
A16.1,"Tubercolosi del polmone, esame batteriologico e istologico non effettuati (+ possibile)",cat 4,A16,1,011.91
A16.2,"Tubercolosi del polmone, senza menzione di conferma batteriologica o istologica (+ possibile)",cat 4,A16,1,011.92
A16.3,"Tubercolosi dei linfonodi intratoracici, senza menzione di conferma batteriologica o istologica (+ possibile)",cat 4,A16,1,012.12
A16.4,"Tubercolosi di laringe, trachea e bronchi, senza menzione di conferma batteriologica o istologica (+ possibile)",cat 4,A16,1,012.22
A16.5,"Pleurite tubercolare, senza menzione di conferma batteriologica o istologica (+ possibile)",cat 4,A16,1,012.02
A16.7,"Tubercolosi respiratoria primaria, senza menzione di conferma batteriologica o istologica (+ possibile)",cat 4,A16,1,010.02
A16.8,"Altre forme di tubercolosi respiratoria, senza menzione di conferma batteriologica o istologica (+ possibile)",cat 4,A16,1,011.82
A16.9,"Tubercolosi respiratoria non specificata, senza menzione di conferma batteriologica o istologica (+ possibile)",cat 4,A16,1,012.82
A17,Tubercolosi del sistema nervoso,cat 3,A15-A19,0,ND
A17.0,Meningite tubercolare (+),cat 4,A17,1,013.00
A17.1,Tubercoloma meningeo (+),cat 4,A17,1,013.10
A17.8,Altre forme di tubercolosi del sistema nervoso (+),cat 4,A17,1,013.80
A17.9,"Tubercolosi del sistema nervoso, non specificata (+)",cat 4 ,A17,1,013.90
A18,Tubercolosi di altri organi,cat 3,A15-A19,0,ND
A18.0,Tubercolosi delle ossa e delle articolazioni (+),cat 4,A18,1,015.70
A18.1,Tubercolosi dell’apparato genitourinario (+),cat 4,A18,0,ND
A18.10,Tubercolosi dell’apparato urinario (+),cat 5,A18.1,1,016.90
A18.11,Tubercolosi dell’apparato genitale (+),cat 5,A18.1,1,016.50
A18.2,Linfadenopatia periferica tubercolare (+ possibile),cat 4,A18,1,017.20
A18.3,"Tubercolosi dell’intestino, del peritoneo e dei linfonodi mesenterici (+ possibile)",cat 4,A18,1,014.80
A18.4,Tubercolosi della cute e del tessuto sottocutaneo (+ possibile),cat 4,A18,1,017.00
A18.5,Tubercolosi dell’occhio (+ possibile),cat 4,A18,1,017.30
A18.6,Tubercolosi dell’orecchio (+ possibile),cat 4,A18,1,017.40
A18.7,Tubercolosi dei surreni (+),cat 4,A18,1,017.60
A18.8,Tubercolosi di altri organi specificati (+ possibile),cat 4,A18,1,017.90
A19,Tubercolosi miliare,cat 3,A15-A19,0,ND
A19.0,Tubercolosi miliare acuta limitata a una singola sede specificata (+ possibile),cat 4,A19,1,018.00
A19.1,Tubercolosi miliare acuta interessante sedi multiple (+ possibile),cat 4,A19,1,018.00
A19.2,"Tubercolosi miliare acuta, non specificata (+ possibile)",cat 4,A19,1,018.00
A19.8,Altre tubercolosi miliari (+ possibile),cat 4,A19,1,018.80
A19.9,"Tubercolosi miliare, non specificata (+ possibile)",cat 4,A19,1,018.90
A20-A28,Alcune malattie batteriche trasmesse da animali,block,I,0,ND
A20,Peste,cat 3,A20-A28,0,ND
A20.0,Peste bubbonica (+ possibile),cat 4,A20,1,020.0
A20.1,Peste cellulocutanea (+ possibile),cat 4,A20,1,020.1
A20.2,Peste polmonare (+ possibile),cat 4,A20,1,020.5
A20.3,Meningite pestosa (+ possibile),cat 4,A20,1,320.7
A20.7,Peste setticemica (+ possibile),cat 4,A20,1,020.2
A20.8,Altre forme di peste (+ possibile),cat 4,A20,1,020.8
A20.9,"Peste, non specificata (+ possibile)",cat 4,A20,1,020.9
A21,Tularemia,cat 3,A20-A28,0,ND
A21.0,Tularemia ulceroghiandolare (+ possibile),cat 4,A21,1,021.0
A21.1,Tularemia oculoghiandolare (+ possibile),cat 4,A21,1,021.3
A21.2,Tularemia polmonare (+ possibile),cat 4,A21,1,021.2
A21.3,Tularemia gastrointestinale (+ possibile),cat 4,A21,1,021.1
A21.7,Tularemia generalizzata (+ possibile),cat 4,A21,1,021.8
A21.8,Altre forme di tularemia (+ possibile),cat 4,A21,1,021.8
A21.9,"Tularemia, non specificata (+ possibile)",cat 4,A21,1,021.9
A22,Carbonchio,cat 3,A20-A28,0,ND
A22.0,Carbonchio cutaneo (+ possibile),cat 4,A22,1,022.0
A22.1,Carbonchio polmonare (+ possibile),cat 4,A22,1,022.1
A22.2,Carbonchio gastrointestinale (+ possibile),cat 4,A22,1,022.2
A22.7,Sepsi carbonchiosa (+ possibile),cat 4,A22,1,022.3
A22.8,Altre forme di carbonchio (+ possibile),cat 4,A22,1,022.8
A22.9,"Carbonchio, non specificato (+ possibile)",cat 4,A22,1,022.9
A23,Brucellosi,cat 3,A20-A28,0,ND
A23.0,Brucellosi da Brucella melitensis (+ possibile),cat 4,A23,1,023.0
A23.1,Brucellosi da Brucella abortus (+ possibile),cat 4,A23,1,023.1
A23.2,Brucellosi da Brucella suis (+ possibile),cat 4,A23,1,023.2
A23.3,Brucellosi da Brucella canis (+ possibile),cat 4,A23,1,023.3
A23.8,Altre brucellosi (+ possibile),cat 4,A23,1,023.8
A23.9,"Brucellosi, non specificata (+ possibile)",cat 4,A23,1,023.9
A24,Morva e melioidosi,cat 3,A20-A28,0,ND
A24.0,Morva (+ possibile),cat 4,A24,1,024
A24.1,Melioidosi acuta e fulminante (+ possibile),cat 4,A24,1,025
A24.2,Melioidosi subacuta e cronica (+ possibile),cat 4,A24,1,025
A24.3,Altre forme di melioidosi (+ possibile),cat 4,A24,1,025
A24.4,"Melioidosi, non specificata (+ possibile)",cat 4,A24,1,025
A25,Febbri da morso di ratto,cat 3,A20-A28,0,ND
A25.0,Febbre spirillare (+ possibile),cat 4,A25,1,026.0
A25.1,Febbre streptobacillare (+ possibile),cat 4,A25,1,026.1
A25.9,"Febbre da morso di ratto, non specificata (+ possibile)",cat 4,A25,1,026.9
A26,Erisipeloide,cat 3,A20-A28,0,ND
A26.0,Erisipeloide cutaneo (+ possibile),cat 4,A26,1,027.1
A26.7,Sepsi da Erisipelothrix (+ possibile),cat 4,A26,1,038.8
A26.8,Altre forme di erisipeloide (+ possibile),cat 4,A26,1,027.1
A26.9,"Erisipeloide, non specificato (+ possibile)",cat 4,A26,1,027.1
A27,Leptospirosi,cat 3,A20-A28,0,ND
A27.0,Leptospirosi itteroemorragica (+ possibile),cat 4,A27,1,100.0
A27.8,Altre forme di leptospirosi (+ possibile),cat 4,A27,1,100.89
A27.9,"Leptospirosi, non specificata (+ possibile)",cat 4,A27,1,100.9
A28,"Altre specificate malattie batteriche trasmesse da animali, non classificate altrove",cat 3,A20-A28,0,ND
A28.0,Pasteurellosi (+ possibile),cat 4,A28,1,027.2
A28.1,Malattia da graffio di gatto (+ possibile),cat 4,A28,1,078.3
A28.2,Yersiniosi extraintestinale (+ possibile),cat 4,A28,1,027.8
A28.8,"Altre specificate malattie batteriche trasmesse da animali, non classificate altrove (+ possibile)",cat 4,A28,1,027.8
A28.9,"Malattia batterica trasmessa da animali, non specificata (+ possibile)",cat 4,A28,1,027.9
A30-A49,Altre malattie batteriche,block,I,0,ND
A30,Lebbra [malattia di Hansen],cat 3,A30-A49,0,ND
A30.0,Lebbra indeterminata (+ possibile),cat 4,A30,1,030.2
A30.1,Lebbra tubercoloide (+ possibile),cat 4,A30,1,030.1
A30.2,Lebbra tubercoloide borderline (+ possibile),cat 4,A30,1,030.3
A30.3,Lebbra borderline (+ possibile),cat 4,A30,1,030.3
A30.4,Lebbra lepromatosa borderline (+ possibile),cat 4,A30,1,030.3
A30.5,Lebbra lepromatosa (+ possibile),cat 4,A30,1,030.0
A30.8,Altre forme di lebbra (+ possibile),cat 4,A30,1,030.8
A30.9,"Lebbra, non specificata (+ possibile)",cat 4,A30,1,030.9
A31,Infezione da altri micobatteri,cat 3,A30-A49,0,ND
A31.0,Infezione polmonare micobatterica (+ possibile),cat 4,A31,1,031.0
A31.1,Infezione micobatterica cutanea (+ possibile),cat 4,A31,1,031.1
A31.8,Altre infezioni micobatteriche (+ possibile),cat 4,A31,1,031.8
A31.9,"Infezione micobatterica, non specificata (+ possibile)",cat 4,A31,1,031.9
A32,Listeriosi,cat 3,A30-A49,0,ND
A32.0,Listeriosi cutanea (+ possibile),cat 4,A32,1,027.0
A32.1,Meningite e meningoencefalite da Listeria (+),cat 4,A32,1,320.7
A32.7,Sepsi da Listeria (+ possibile),cat 4,A32,1,038.8
A32.8,Altre forme di listeriosi (+ possibile),cat 4,A32,1,027.0
A32.9,"Listeriosi, non specificata (+ possibile)",cat 4,A32,1,027.0
A33,Tetano del neonato (+ possibile),cat 3,A30-A49,1,771.3
A34,Tetano ostetrico (+ possibile),cat 3,A30-A49,1,670.04
A35,Altre forme di tetano (+ possibile),cat 3,A30-A49,1,037
A36,Difterite,cat 3,A30-A49,0,ND
A36.0,Difterite faringea (+ possibile),cat 4,A36,1,032.0
A36.1,Difterite rinofaringea (+ possibile),cat 4,A36,1,032.1
A36.2,Difterite laringea (+ possibile),cat 4,A36,1,032.3
A36.3,Difterite cutanea (+ possibile),cat 4,A36,1,032.85
A36.8,Altre forme di difterite (+ possibile),cat 4,A36,1,032.89
A36.9,"Difterite, non specificata (+ possibile)",cat 4,A36,1,032.9
A37,Pertosse,cat 3,A30-A49,0,ND
A37.0,Pertosse da Bordetella pertussis (+ possibile),cat 4,A37,1,033.0
A37.1,Pertosse da Bordetella parapertussis (+ possibile),cat 4,A37,1,033.1
A37.8,Pertosse da altre specie di Bordetella (+ possibile),cat 4,A37,1,033.8
A37.9,"Pertosse, non specificata (+ possibile)",cat 4,A37,1,033.9
A38,Scarlattina (+ possibile),cat 3,A30-A49,1,034.1
A39,Infezione meningococcica,cat 3,A30-A49,0,ND
A39.0,Meningite meningococcica (+),cat 4,A39,1,036.0
A39.1,Sindrome di Waterhouse-Friderichsen (+),cat 4,A39,1,036.3
A39.2,Meningococcemia acuta (+ possibile),cat 4,A39,1,036.2
A39.3,Meningococcemia cronica (+ possibile),cat 4,A39,1,036.2
A39.4,"Meningococcemia, non specificata (+ possibile)",cat 4,A39,1,036.2
A39.5,Cardiopatia meningococcica (+),cat 4,A39,1,036.40
A39.8,Altre infezioni meningococciche (+ possibile),cat 4,A39,1,036.89
A39.9,"Infezione meningococcica, non specificata (+ possibile)",cat 4,A39,1,036.9
A40,Sepsi streptococcica,cat 3,A30-A49,0,ND
A40.0,"Sepsi da streptococco, gruppo A (+ possibile)",cat 4,A40,1,038.0
A40.1,"Sepsi da streptococco, gruppo B (+ possibile)",cat 4,A40,1,038.0
A40.2,Sepsi da streptococco di gruppo D e da enterococco (+ possibile),cat 4,A40,1,038.0
A40.3,Sepsi da Streptococcus pneumoniae (+ possibile),cat 4,A40,1,038.2
A40.8,Altre forme di sepsi streptococcica (+ possibile),cat 4,A40,1,038.0
A40.9,"Sepsi streptococcica, non specificata (+ possibile)",cat 4,A40,1,038.0
A41,Altre sepsi,cat 3,A30-A49,0,ND
A41.0,Sepsi da Stafilococco aureo (+ possibile),cat 4,A41,1,038.11
A41.1,Sepsi da altro stafilococco specificato (+ possibile),cat 4,A41,1,038.19
A41.2,Sepsi da stafilococco non specificato (+ possibile),cat 4,A41,1,038.10
A41.3,Sepsi da Haemophilus influenzae (+ possibile),cat 4,A41,1,038.41
A41.4,Sepsi da anaerobi (+ possibile),cat 4,A41,1,038.3
A41.5,Sepsi da altri microrganismi Gram-negativi (+ possibile),cat 4,A41,1,038.40
A41.8,Altre sepsi specificate (+ possibile),cat 4,A41,1,038.8
A41.9,"Sepsi, non specificata (+ possibile)",cat 4,A41,1,038.9
A42,Actinomicosi,cat 3,A30-A49,0,ND
A42.0,Actinomicosi polmonare (+ possibile),cat 4,A42,1,039.1
A42.1,Actinomicosi addominale (+ possibile),cat 4,A42,1,039.2
A42.2,Actinomicosi cervicofacciale (+ possibile),cat 4,A42,1,039.3
A42.7,Sepsi actinomicotica (+ possibile),cat 4,A42,1,038.8
A42.8,Altre forme di actinomicosi (+ possibile),cat 4,A42,1,039.8
A42.9,"Actinomicosi, non specificata (+ possibile)",cat 4,A42,1,039.9
A43,Nocardiosi,cat 3,A30-A49,0,ND
A43.0,Nocardiosi polmonare (+ possibile),cat 4,A43,1,039.1
A43.1,Nocardiosi cutanea (+ possibile),cat 4,A43,1,039.0
A43.8,Altre forme di nocardiosi (+ possibile),cat 4,A43,1,039.8
A43.9,"Nocardiosi, non specificata (+ possibile)",cat 4,A43,1,039.9
A44,Bartonellosi,cat 3,A30-A49,0,ND
A44.0,Bartonellosi sistemica (+ possibile),cat 4,A44,1,088.0
A44.1,Bartonellosi cutanea e mucocutanea (+ possibile),cat 4,A44,1,088.0
A44.8,Altre forme di bartonellosi (+ possibile),cat 4,A44,1,088.0
A44.9,"Bartonellosi, non specificata (+ possibile)",cat 4,A44,1,088.0
A46,Erisipela (+ possibile),cat 3,A30-A49,1,035
A48,"Altre malattie batteriche, non classificate altrove",cat 3,A30-A49,0,ND
A48.0,Gangrena gassosa (+ possibile),cat 4,A48,1,040.0
A48.1,Malattia dei legionari (+ possibile),cat 4,A48,1,482.84
A48.2,Malattia dei legionari non polmonare [febbre di Pontiac] (+ possibile),cat 4,A48,1,040.89
A48.3,Sindrome da shock tossico (+ possibile),cat 4,A48,1,040.82
A48.4,Febbre purpurica brasiliana (+ possibile),cat 4,A48,1,040.89
A48.8,Altre specificate malattie batteriche (+ possibile),cat 4,A48,1,040.89
A49,Infezione batterica di sede non specificata,cat 3,A30-A49,0,ND
A49.0,"Infezione stafilococcica, sede non specificata (+ possibile)",cat 4,A49,1,040.89
A49.1,"Infezione streptococcica ed enterococcica, sede non specificata (+ possibile)",cat 4,A49,1,040.89
A49.2,"Infezione da Haemophilus influenzae, sede non specificata (+ possibile)",cat 4,A49,1,040.89
A49.3,"Infezione da Mycoplasma, sede non specificata (+ possibile)",cat 4,A49,1,040.89
A49.8,Altre infezioni batteriche di sede non specificata (+ possibile),cat 4,A49,1,040.89
A49.9,"Infezione batterica, non specificata (+ possibile)",cat 4,A49,1,790.7
A50-A64,Infezioni con modalità di trasmissione prevalentemente sessuale,block,I,0,ND
A50,Sifilide congenita,cat 3,A50-A64,0,ND
A50.0,Sifilide congenita precoce sintomatica (+ possibile),cat 4,A50,1,090.0
A50.1,"Sifilide congenita precoce, latente (+ possibile)",cat 4,A50,1,090.1
A50.2,"Sifilide congenita precoce, non specificata (+ possibile)",cat 4,A50,1,090.2
A50.3,Oftalmopatia sifilitica congenita tardiva (+ possibile),cat 4,A50,1,090.5
A50.4,Neurosifilide congenita tardiva [neurosifilide giovanile] (+ possibile),cat 4,A50,1,090.40
A50.5,Altre forme di sifilide congenita tardiva sintomatica (+ possibile),cat 4,A50,1,090.5
A50.6,"Sifilide congenita tardiva, latente (+ possibile)",cat 4,A50,1,090.6
A50.7,"Sifilide congenita tardiva, non specificata (+ possibile)",cat 4,A50,1,090.7
A50.9,"Sifilide congenita, non specificata (+ possibile)",cat 4,A50,1,090.9
A51,Sifilide precoce,cat 3,A50-A64,0,ND
A51.0,Sifilide genitale primaria (+ possibile),cat 4,A51,1,091.0
A51.1,Sifilide anale primaria (+ possibile),cat 4,A51,1,091.1
A51.2,Sifilide primaria di altre sedi (+ possibile),cat 4,A51,1,091.2
A51.3,Sifilide secondaria della cute e delle mucose (+ possibile),cat 4,A51,1,091.3
A51.4,Altre forme di sifilide secondaria (+ possibile),cat 4,A51,0,ND
A51.40,Linfadenopatia in sifilide secondaria (+ possibile),cat 5,A51.4,1,091.4
A51.48,"Altre forme di sifilide secondaria, altro specificato (+ possibile)",cat 5,A51.4,1,091.89
A51.5,"Sifilide precoce, latente (+ possibile)",cat 4,A51,1,092.0
A51.9,"Sifilide precoce, non specificata (+ possibile)",cat 4,A51,1,092.9
A52,Sifilide tardiva,cat 3,A50-A64,0,ND
A52.0,Sifilide cardiovascolare (+),cat 4,A52,1,093.9
A52.1,Neurosifilide sintomatica (+ possibile),cat 4,A52,1,094.1
A52.2,Neurosifilide asintomatica (+ possibile),cat 4,A52,1,094.3
A52.3,"Neurosifilide, non specificata (+ possibile)",cat 4,A52,1,094.9
A52.7,Altre forme di sifilide tardiva sintomatica (+ possibile),cat 4,A52,0,ND
A52.70,Sifilide del polmone (J99.8*) (+ possibile),cat 5,A52.7,1,095.1
A52.78,Altre forme specificate di sifilide tardiva sintomatica (+ possibile),cat 5,A52.7,1,095.8
A52.8,"Sifilide tardiva, latente (+ possibile)",cat 4,A52,1,096
A52.9,"Sifilide tardiva, non specificata (+ possibile)",cat 4,A52,1,097.0
A53,Altre e non specificate forme di sifilide,cat 3,A50-A64,0,ND
A53.0,"Sifilide latente, non specificata come precoce o tardiva (+ possibile)",cat 4,A53,1,097.1
A53.9,"Sifilide, non specificata (+ possibile)",cat 4,A53,1,097.9
A54,Infezione gonococcica,cat 3,A50-A64,0,ND
A54.0,Infezione gonococcica del tratto genitourinario inferiore senza ascesso periuretrale o delle ghiandole accessorie (+ possibile),cat 4,A54,1,098.0
A54.1,Infezione gonococcica del tratto genitourinario inferiore con ascesso periuretrale e delle ghiandole accessorie (+ possibile),cat 4,A54,1,098.11
A54.2,Pelviperitonite gonococcica e altre infezioni gonococciche genitourinarie (+ possibile),cat 4,A54,1,098.19
A54.3,Infezione oculare gonococcica (+ possibile),cat 4,A54,1,098.81
A54.4,Infezione gonococcica dell’apparato locomotore (+),cat 4,A54,1,098.50
A54.5,Faringite gonococcica (+ possibile),cat 4,A54,1,098.6
A54.6,Infezione gonococcica dell’ano e del retto (+ possibile),cat 4,A54,1,098.7
A54.8,Altre infezioni gonococciche (+ possibile),cat 4,A54,1,098.89
A54.9,"Infezione gonococcica, non specificata (+ possibile)",cat 4,A54,1,098.89
A55,Linfogranuloma (venereo) da Chlamydiae (+ possibile),cat 3,A50-A64,1,099.1
A56,"Altre malattie da Chlamydiae, sessualmente trasmesse",cat 3,A50-A64,0,ND
A56.0,Infezione da Chlamydiae del tratto genitourinario inferiore (+ possibile),cat 4,A56,1,099.53
A56.1,Infezione da Chlamydiae del peritoneo pelvico e di altri organi genitourinari (+ possibile),cat 4,A56,1,099.54
A56.2,"Infezione da Chlamydiae dell’apparato genitourinario, non specificata (+ possibile)",cat 4,A56,1,099.55
A56.3,Infezione da Chlamydiae dell’ano e del retto (+ possibile),cat 4,A56,1,099.52
A56.4,Infezione da Chlamydiae della faringe (+ possibile),cat 4,A56,1,099.51
A56.8,Infezione da Chlamydiae sessualmente trasmessa di altre sedi (+ possibile),cat 4,A56,1,099.50
A57,Ulcera (venerea) molle (+ possibile),cat 3,A50-A64,1,099.0
A58,Granuloma inguinale (+ possibile),cat 3,A50-A64,1,099.2
A59,Tricomoniasi,cat 3,A50-A64,0,ND
A59.0,Tricomoniasi genitourinaria (+ possibile),cat 4,A59,1,131.00
A59.8,Tricomoniasi di altre sedi (+ possibile),cat 4,A59,1,131.8
A59.9,"Tricomoniasi, non specificata (+ possibile)",cat 4,A59,1,131.9
A60,Infezioni anogenitali da herpes virus [herpes simplex],cat 3,A50-A64,0,ND
A60.0,Infezione da herpes virus dei genitali e dell’apparato genitourinario (+ possibile),cat 4,A60,1,054.10
A60.1,Infezione da herpes virus della cute perianale e del retto (+ possibile),cat 4,A60,1,054.19
A60.9,"Infezione anogenitale da herpes virus, non specificata (+ possibile)",cat 4,A60,1,054.10
A63,"Altre malattie a trasmissione prevalentemente sessuale, non classificate altrove",cat 3,A50-A64,0,ND
A63.0,Verruche anogenitali (veneree) (+ possibile),cat 4,A63,1,078.10
A63.8,"Altre specificate malattie a trasmissione prevalentemente sessuale, non classificate altrove (+ possibile)",cat 4,A63,1,099.8
A64,"Malattia sessualmente trasmessa, non specificata (+ possibile)",cat 3,A50-A64,1,099.9
A65-A69,Altre malattie da spirochete (+ possibile),block,I,0,ND
A65,Sifilide non venerea (+ possibile),cat 3,A65-A69,0,ND
A66,Framboesia,cat 3,A65-A69,0,ND
A66.0,Lesioni iniziali da framboesia (+ possibile),cat 4,A66,1,102.0
A66.1,Papillomi multipli e wet crab da framboesia (+ possibile),cat 4,A66,1,102.1
A66.2,Altre lesioni cutanee precoci da framboesia (+ possibile),cat 4,A66,1,102.2
A66.3,Ipercheratosi da framboesia (+ possibile),cat 4,A66,1,102.3
A66.4,Gomme e ulcere da framboesia (+ possibile),cat 4,A66,1,102.4
A66.5,Gangosa (+ possibile),cat 4,A66,1,102.5
A66.6,Lesioni delle ossa e delle articolazioni da framboesia (+ possibile),cat 4,A66,1,102.6
A66.7,Altre manifestazioni da framboesia (+ possibile),cat 4,A66,1,102.7
A66.8,Framboesia latente (+ possibile),cat 4,A66,1,102.8
A66.9,"Framboesia, non specificata (+ possibile)",cat 4,A66,1,102.9
